,pilot,linetext,timestamp
3043,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:22:21
3044,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:22:22
3054,Dravynea Uta,95 GJ energy neutralized Sleepless Sentinel - Sleepless Sentinel,2023-02-01 23:22:27
3065,Dravynea Uta,95 GJ energy neutralized Sleepless Sentinel - Sleepless Sentinel,2023-02-01 23:22:37
3073,Dravynea Uta,95 GJ energy neutralized Sleepless Sentinel - Sleepless Sentinel,2023-02-01 23:22:47
3889,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:35:41
3891,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:35:42
3899,Dravynea Uta,95 GJ energy neutralized Sleepless Sentinel - Sleepless Sentinel,2023-02-01 23:35:47
3906,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:35:52
3911,Dravynea Uta,95 GJ energy neutralized Sleepless Sentinel - Sleepless Sentinel,2023-02-01 23:35:57
3914,Dravynea Uta,32 GJ energy neutralized Awakened Keeper - Awakened Keeper,2023-02-01 23:36:02
3945,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:10
3953,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:13
3956,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:14
3961,Dravynea Uta,63 GJ energy neutralized Sleepless Keeper - Sleepless Keeper,2023-02-01 23:37:15
3969,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:20
3978,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:23
3981,Dravynea Uta,16 GJ energy neutralized Emergent Warden - Emergent Warden,2023-02-01 23:37:24
3985,Dravynea Uta,63 GJ energy neutralized Sleepless Keeper - Sleepless Keeper,2023-02-01 23:37:25
4653,Dravynea Uta,16 GJ energy neutralized Emergent Keeper - Emergent Keeper,2023-02-01 23:46:22
