,timestamp,pilot,aggressor,shiptype,module_or_ammo,dmg,hit_quality
8,2023-02-25 09:10:49,Dravynea Uta,Awakened Patroller,Awakened Patroller,,50,Grazes
9,2023-02-25 09:10:50,Dravynea Uta,Awakened Patroller,Awakened Patroller,,98,Penetrates
10,2023-02-25 09:10:51,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,45,Hits
11,2023-02-25 09:10:53,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,42,Hits
13,2023-02-25 09:10:54,Dravynea Uta,Awakened Patroller,Awakened Patroller,,122,Smashes
14,2023-02-25 09:10:55,Dravynea Uta,Awakened Patroller,Awakened Patroller,,100,Penetrates
17,2023-02-25 09:10:59,Dravynea Uta,Awakened Patroller,Awakened Patroller,,123,Smashes
18,2023-02-25 09:11:00,Dravynea Uta,Awakened Patroller,Awakened Patroller,,63,Hits
20,2023-02-25 09:11:04,Dravynea Uta,Awakened Patroller,Awakened Patroller,,104,Smashes
21,2023-02-25 09:11:05,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,36,Hits
22,2023-02-25 09:11:05,Dravynea Uta,Awakened Patroller,Awakened Patroller,,104,Penetrates
24,2023-02-25 09:11:07,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,36,Hits
26,2023-02-25 09:11:09,Dravynea Uta,Awakened Patroller,Awakened Patroller,,119,Smashes
27,2023-02-25 09:11:10,Dravynea Uta,Awakened Patroller,Awakened Patroller,,122,Smashes
29,2023-02-25 09:11:14,Dravynea Uta,Awakened Patroller,Awakened Patroller,,109,Smashes
30,2023-02-25 09:11:15,Dravynea Uta,Awakened Patroller,Awakened Patroller,,92,Penetrates
34,2023-02-25 09:11:19,Dravynea Uta,Awakened Patroller,Awakened Patroller,,90,Penetrates
35,2023-02-25 09:11:20,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,22,Hits
36,2023-02-25 09:11:20,Dravynea Uta,Awakened Patroller,Awakened Patroller,,18,Hits
38,2023-02-25 09:11:22,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,22,Hits
39,2023-02-25 09:11:24,Dravynea Uta,Awakened Patroller,Awakened Patroller,,31,Smashes
41,2023-02-25 09:11:25,Dravynea Uta,Awakened Patroller,Awakened Patroller,,29,Smashes
44,2023-02-25 09:11:29,Dravynea Uta,Awakened Patroller,Awakened Patroller,,11,Grazes
45,2023-02-25 09:11:30,Dravynea Uta,Awakened Patroller,Awakened Patroller,,19,Hits
47,2023-02-25 09:11:34,Dravynea Uta,Awakened Patroller,Awakened Patroller,,21,Hits
49,2023-02-25 09:11:35,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,22,Hits
50,2023-02-25 09:11:35,Dravynea Uta,Awakened Patroller,Awakened Patroller,,20,Hits
51,2023-02-25 09:11:37,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,22,Hits
53,2023-02-25 09:11:40,Dravynea Uta,Awakened Patroller,Awakened Patroller,,28,Smashes
56,2023-02-25 09:11:45,Dravynea Uta,Awakened Patroller,Awakened Patroller,,24,Penetrates
58,2023-02-25 09:11:50,Dravynea Uta,Awakened Patroller,Awakened Patroller,,21,Hits
60,2023-02-25 09:11:52,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,40,Hits
62,2023-02-25 09:11:55,Dravynea Uta,Awakened Patroller,Awakened Patroller,,23,Penetrates
66,2023-02-25 09:12:00,Dravynea Uta,Awakened Patroller,Awakened Patroller,,33,Smashes
68,2023-02-25 09:12:05,Dravynea Uta,Awakened Patroller,Awakened Patroller,,30,Smashes
70,2023-02-25 09:12:07,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,32,Hits
72,2023-02-25 09:12:10,Dravynea Uta,Awakened Patroller,Awakened Patroller,,62,Wrecks
75,2023-02-25 09:12:15,Dravynea Uta,Awakened Patroller,Awakened Patroller,,25,Penetrates
78,2023-02-25 09:12:20,Dravynea Uta,Awakened Patroller,Awakened Patroller,,27,Smashes
79,2023-02-25 09:12:21,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,15,Hits
81,2023-02-25 09:12:25,Dravynea Uta,Awakened Patroller,Awakened Patroller,,30,Smashes
84,2023-02-25 09:12:30,Dravynea Uta,Awakened Patroller,Awakened Patroller,,16,Grazes
86,2023-02-25 09:12:35,Dravynea Uta,Awakened Patroller,Awakened Patroller,,11,Grazes
87,2023-02-25 09:12:36,Dravynea Uta,Awakened Patroller,Awakened Patroller,Praedormitan Missile,41,Hits
193,2023-02-23 15:49:57,Dravynea Uta,Awakened Defender,Awakened Defender,,127,Penetrates
194,2023-02-23 15:49:57,Dravynea Uta,Awakened Defender,Awakened Defender,,162,Smashes
195,2023-02-23 15:49:57,Dravynea Uta,Awakened Defender,Awakened Defender,,84,Hits
196,2023-02-23 15:49:58,Dravynea Uta,Awakened Defender,Awakened Defender,,78,Glances Off
197,2023-02-23 15:50:00,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
198,2023-02-23 15:50:00,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
199,2023-02-23 15:50:00,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
200,2023-02-23 15:50:02,Dravynea Uta,Awakened Defender,Awakened Defender,,88,Hits
201,2023-02-23 15:50:02,Dravynea Uta,Awakened Defender,Awakened Defender,,80,Glances Off
202,2023-02-23 15:50:02,Dravynea Uta,Awakened Defender,Awakened Defender,,78,Glances Off
203,2023-02-23 15:50:03,Dravynea Uta,Awakened Defender,Awakened Defender,,62,Grazes
204,2023-02-23 15:50:07,Dravynea Uta,Awakened Defender,Awakened Defender,,100,Hits
205,2023-02-23 15:50:07,Dravynea Uta,Awakened Defender,Awakened Defender,,139,Smashes
206,2023-02-23 15:50:08,Dravynea Uta,Awakened Defender,Awakened Defender,,65,Grazes
207,2023-02-23 15:50:12,Dravynea Uta,Awakened Defender,Awakened Defender,,59,Grazes
208,2023-02-23 15:50:12,Dravynea Uta,Awakened Defender,Awakened Defender,,79,Glances Off
209,2023-02-23 15:50:13,Dravynea Uta,Awakened Defender,Awakened Defender,,109,Hits
211,2023-02-23 15:50:15,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
212,2023-02-23 15:50:15,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
213,2023-02-23 15:50:15,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
214,2023-02-23 15:50:17,Dravynea Uta,Awakened Defender,Awakened Defender,,88,Hits
215,2023-02-23 15:50:17,Dravynea Uta,Awakened Defender,Awakened Defender,,81,Glances Off
216,2023-02-23 15:50:18,Dravynea Uta,Awakened Defender,Awakened Defender,,147,Smashes
217,2023-02-23 15:50:22,Dravynea Uta,Awakened Defender,Awakened Defender,,87,Hits
218,2023-02-23 15:50:22,Dravynea Uta,Awakened Defender,Awakened Defender,,71,Glances Off
219,2023-02-23 15:50:23,Dravynea Uta,Awakened Defender,Awakened Defender,,80,Glances Off
220,2023-02-23 15:50:27,Dravynea Uta,Awakened Defender,Awakened Defender,,115,Penetrates
221,2023-02-23 15:50:27,Dravynea Uta,Awakened Defender,Awakened Defender,,130,Penetrates
222,2023-02-23 15:50:28,Dravynea Uta,Awakened Defender,Awakened Defender,,69,Grazes
223,2023-02-23 15:50:30,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
224,2023-02-23 15:50:30,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
225,2023-02-23 15:50:30,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
226,2023-02-23 15:50:32,Dravynea Uta,Awakened Defender,Awakened Defender,,139,Smashes
227,2023-02-23 15:50:32,Dravynea Uta,Awakened Defender,Awakened Defender,,132,Penetrates
229,2023-02-23 15:50:37,Dravynea Uta,Awakened Defender,Awakened Defender,,117,Penetrates
230,2023-02-23 15:50:37,Dravynea Uta,Awakened Defender,Awakened Defender,,118,Penetrates
231,2023-02-23 15:50:42,Dravynea Uta,Awakened Defender,Awakened Defender,,74,Glances Off
232,2023-02-23 15:50:42,Dravynea Uta,Awakened Defender,Awakened Defender,,63,Grazes
233,2023-02-23 15:50:44,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
234,2023-02-23 15:50:45,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
235,2023-02-23 15:50:47,Dravynea Uta,Awakened Defender,Awakened Defender,,60,Grazes
236,2023-02-23 15:50:47,Dravynea Uta,Awakened Defender,Awakened Defender,,148,Smashes
237,2023-02-23 15:50:52,Dravynea Uta,Awakened Defender,Awakened Defender,,61,Grazes
238,2023-02-23 15:50:52,Dravynea Uta,Awakened Defender,Awakened Defender,,124,Penetrates
239,2023-02-23 15:50:57,Dravynea Uta,Awakened Defender,Awakened Defender,,116,Penetrates
241,2023-02-23 15:51:00,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
242,2023-02-23 15:51:02,Dravynea Uta,Awakened Defender,Awakened Defender,,88,Hits
243,2023-02-23 15:51:07,Dravynea Uta,Awakened Defender,Awakened Defender,,93,Hits
249,2023-02-23 15:51:12,Dravynea Uta,Awakened Defender,Awakened Defender,,108,Hits
250,2023-02-23 15:51:15,Dravynea Uta,Awakened Defender,Awakened Defender,Praedormitan Missile,224,Hits
251,2023-02-23 15:51:17,Dravynea Uta,Awakened Defender,Awakened Defender,,331,Wrecks
272,2023-02-23 15:53:46,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,88,Grazes
275,2023-02-23 15:53:51,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,149,Hits
277,2023-02-23 15:53:54,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Phantasmata Missile,1386,Hits
278,2023-02-23 15:53:56,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,122,Glances Off
280,2023-02-23 15:54:01,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,152,Hits
282,2023-02-23 15:54:06,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,243,Smashes
284,2023-02-23 15:54:11,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,113,Glances Off
285,2023-02-23 15:54:13,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Phantasmata Missile,1220,Hits
287,2023-02-23 15:54:16,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,235,Smashes
293,2023-02-23 15:54:59,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,229,Smashes
294,2023-02-23 15:55:04,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,259,Smashes
295,2023-02-23 15:55:09,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,166,Hits
296,2023-02-23 15:55:14,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,209,Penetrates
297,2023-02-23 15:55:19,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,194,Penetrates
298,2023-02-23 15:55:19,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,192,Penetrates
299,2023-02-23 15:55:24,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,226,Smashes
300,2023-02-23 15:55:24,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,142,Hits
302,2023-02-23 15:55:29,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,181,Penetrates
303,2023-02-23 15:55:29,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,137,Hits
305,2023-02-23 15:55:34,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,163,Hits
307,2023-02-23 15:55:39,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,155,Hits
314,2023-02-23 15:55:59,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,156,Hits
316,2023-02-23 15:56:04,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,105,Grazes
318,2023-02-23 15:56:09,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,202,Penetrates
320,2023-02-23 15:56:14,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,236,Smashes
322,2023-02-23 15:56:19,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,91,Grazes
324,2023-02-23 15:56:24,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,261,Smashes
326,2023-02-23 15:56:29,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,,129,Glances Off
386,2023-02-23 16:36:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,262,Penetrates
387,2023-02-23 16:36:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,312,Smashes
388,2023-02-23 16:36:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,251,Penetrates
389,2023-02-23 16:36:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,157,Glances Off
390,2023-02-23 16:36:20,Dravynea Uta,Hollindustries,Nestor,Ogre II,165,Glances Off
392,2023-02-23 16:36:24,Dravynea Uta,Hollindustries,Nestor,Ogre II,168,Glances Off
393,2023-02-23 16:36:24,Dravynea Uta,Hollindustries,Nestor,Ogre II,288,Smashes
394,2023-02-23 16:36:24,Dravynea Uta,Hollindustries,Nestor,Ogre II,210,Hits
395,2023-02-23 16:36:24,Dravynea Uta,Hollindustries,Nestor,Ogre II,204,Hits
396,2023-02-23 16:36:24,Dravynea Uta,Hollindustries,Nestor,Ogre II,251,Penetrates
399,2023-02-23 16:36:28,Dravynea Uta,Hollindustries,Nestor,Ogre II,256,Penetrates
