,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
12,2023-02-25 09:10:54,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
15,2023-02-25 09:10:56,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
16,2023-02-25 09:10:59,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
19,2023-02-25 09:11:02,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
23,2023-02-25 09:11:06,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
25,2023-02-25 09:11:09,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
28,2023-02-25 09:11:12,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
31,2023-02-25 09:11:16,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
33,2023-02-25 09:11:18,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
37,2023-02-25 09:11:21,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
40,2023-02-25 09:11:25,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
43,2023-02-25 09:11:28,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,402,Hits
46,2023-02-25 09:11:31,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,937,Hits
48,2023-02-25 09:11:35,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,1341,Hits
52,2023-02-25 09:11:38,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,395,Hits
55,2023-02-25 09:11:45,Dravynea Uta,Awakened Patroller,Awakened Patroller,Scourge Rage Heavy Assault Missile,320,Hits
