,pilot,linetext,timestamp
144,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:07:20
145,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:07:21
146,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:09:02
147,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:09:03
148,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:10:43
149,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:10:45
150,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:12:25
151,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:12:27
152,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:14:07
153,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:14:09
154,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:15:49
155,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:15:50
