,pilot,linetext,timestamp
334,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:03
335,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:13
336,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:23
339,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:33
343,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:43
347,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:53
352,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:03
356,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:13
360,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:23
365,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:33
369,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:44
373,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:54
378,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:04
381,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:14
391,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:24
411,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:34
424,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:44
444,Dravynea Uta,+117 GJ energy drained from Hollindustries  Nestor  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:54
