,pilot,linetext,timestamp
1263,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:03
1264,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:13
1265,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:23
1268,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:33
1272,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:43
1276,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:34:53
1281,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:03
1285,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:13
1289,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:23
1294,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:33
1298,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:44
1302,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:35:54
1307,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:04
1310,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:14
1328,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:24
1348,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:34
1361,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:44
1381,Hollindustries,-117 GJ energy drained to Dravynea Uta  Bhaalgorn  - Corpus X-Type Heavy Energy Nosferatu,2023-02-23 16:36:54
8769,Hollindustries,-1 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:06
8781,Hollindustries,-1 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:10
8795,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:11
8799,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:12
8814,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:15
8819,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:16
8825,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:16
8832,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:18
8848,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:20
8857,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:21
8870,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:21
8882,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:22
8896,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:25
8908,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:26
8921,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:27
8929,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:28
8948,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:30
8960,Hollindustries,-6 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:31
8973,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:31
8985,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:33
9020,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:35
9029,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:36
9051,Hollindustries,-0 GJ energy drained to Tengu  - Small Energy Nosferatu II,2023-01-29 19:42:39
